snapshot_date,worker_id,org_id,org_name,location_id,location_name,job_family,employment_status,fte_fraction,hire_date,termination_date,termination_type,scheduled_hours,productive_hours,accepted_output_units,labor_cost,currency,approved_position_count,open_requisition_count,scenario_id
2026-08-31, W-001 ,ops-n,North Operations,blr,Bengaluru,operations,active,1.0,2022-01-17,,,160,142,7100,"INR 128,000",inr,18,2,baseline
08/31/2026,w-002,OPS-N,north operations,BLR,Bengaluru,Operations,ACTIVE,0.8,2023-05-01,,,128,110,5250,₹102400,INR,18,2,BASELINE
2026/08/31,w-003,ops-n,NORTH OPERATIONS,blr,Bengaluru,operations,active,1,2021-09-12,,,160,145,7300,128000,INR,18,2,baseline
2026-08-31,w-004,ops-n,North Operations,blr,Bengaluru,operations,leave,1.0,2024-02-10,,,0,0,0,128000,INR,18,2,baseline
2026-08-31,w-005,ops-s,South Operations,bom,Mumbai,operations,active,1,2020-11-03,,,160,138,6500,121600,inr,14,1,baseline
2026-08-31,w-006,OPS-S,South Operations,BOM,Mumbai,Operations,ACTIVE,1.0,2025-03-18,,,160,134,6300,"INR 121,600",INR,14,1,baseline
2026-08-31,w-007,ops-s,South Operations,bom,Mumbai,operations,terminated,1,2021-06-24,2026-08-14,voluntary,80,66,2900,121600,INR,14,1,baseline
2026-08-31,w-008,fin,Finance,blr,Bengaluru,finance,active,1,2019-08-09,,,160,151,302,144000,INR,7,1,baseline
2026-08-31,w-009,FIN,finance,BLR,Bengaluru,Finance,ACTIVE,0.6,2024-07-22,,,96,89,178,86400,inr,7,1,baseline
2026-08-31,w-010,hr,People,del,Delhi,people,active,1.0,2020-02-16,,,160,148,296,115200,INR,5,0,baseline
2026-08-31,w-011,HR,People,DEL,Delhi,People,ACTIVE,1,2023-11-05,,,160,150,305,"INR 115,200",INR,5,0,baseline
2026-08-31,w-012,ops-n,North Operations,blr,Bengaluru,operations,active,0.5,2026-06-01,,,80,67,3150,64000,INR,18,2,baseline
